23	19	4	10	17	10
34	24	22	11	19	19
29	23	9	9	19	11
16	25	10	8	25	24
27	26	6	10	16	13
32	21	8	1	7	11
38	31	12	10	11	14
34	28	24	14	22	26
25	31	18	7	12	11
40	23	20	10	23	35
24	16	14	5	17	11
40	26	26	13	24	25
42	27	27	7	13	4
31	21	5	13	19	19
31	23	11	4	16	16
31	34	3	9	19	17
30	20	13	9	20	21
28	19	8	9	14	20
19	22	8	5	12	4
28	20	14	8	15	8
34	21	9	9	23	24
21	22	8	9	12	8
24	20	22	11	19	18
29	30	15	7	16	12
16	23	5	7	20	13
25	27	15	6	16	13
29	24	10	9	21	17
22	34	19	10	17	15
29	21	18	7	16	7
25	25	30	9	16	16
23	20	18	6	12	6
35	30	33	8	15	12
19	22	12	10	16	17
25	21	15	8	17	17
36	28	33	15	24	39
27	22	32	8	13	13
20	27	15	9	19	11
36	29	16	9	23	23
38	29	35	13	22	17
31	26	29	11	26	12
38	37	28	10	19	19
29	34	22	10	20	19
35	24	15	12	20	23
51	26	34	18	26	38
37	20	21	8	19	19
37	26	29	7	19	19
39	26	24	17	26	30
29	23	9	6	24	9
29	33	11	13	23	26
30	21	21	12	24	27
16	34	32	14	22	24
28	27	32	10	19	17
30	32	26	7	15	10
22	23	8	4	13	17
32	24	8	9	19	14
31	23	13	12	19	15
32	25	17	5	11	16
40	21	15	8	18	13
21	20	11	7	19	8
31	25	26	15	24	23
41	25	15	12	21	19
35	20	16	10	16	10
34	27	17	13	25	32
25	22	13	7	16	11
36	26	17	10	19	10
20	19	7	8	20	6
28	24	9	4	12	11
34	21	19	10	18	14
37	26	24	9	17	20
24	28	11	8	17	7
26	27	4	11	18	14
26	24	27	11	23	22
